,Date,Price
0,2015-08-06,3.0
1,2015-08-07,1.2
2,2015-08-08,1.2
3,2015-08-09,1.2
4,2015-08-10,0.99
5,2015-08-11,1.29
6,2015-08-12,1.88
7,2015-08-13,1.79
8,2015-08-14,1.79
9,2015-08-15,1.37
10,2015-08-16,1.3
11,2015-08-17,1.36
12,2015-08-18,1.24
13,2015-08-19,1.52
14,2015-08-20,1.44
15,2015-08-21,1.4
16,2015-08-22,1.35
17,2015-08-23,1.24
18,2015-08-24,1.27
19,2015-08-25,1.18
20,2015-08-26,1.14
21,2015-08-27,1.3
22,2015-08-28,1.18
23,2015-08-29,1.32
24,2015-08-30,1.31
25,2015-08-31,1.36
26,2015-09-01,1.14
27,2015-09-02,1.23
28,2015-09-03,1.35
29,2015-09-04,1.37
30,2015-09-05,1.34
31,2015-09-06,1.28
32,2015-09-07,1.26
33,2015-09-08,1.21
34,2015-09-09,1.19
35,2015-09-10,0.9242
36,2015-09-11,1.15
37,2015-09-12,0.8856
38,2015-09-13,0.955
39,2015-09-14,0.95
40,2015-09-15,0.9363
41,2015-09-16,0.875
42,2015-09-17,0.8523
43,2015-09-18,0.89
44,2015-09-19,0.8871
45,2015-09-20,0.9412
46,2015-09-21,0.8059
47,2015-09-22,0.91
48,2015-09-23,0.8
49,2015-09-24,0.6823
50,2015-09-25,0.7703
51,2015-09-26,0.7008
52,2015-09-27,0.6
53,2015-09-28,0.6816
54,2015-09-29,0.7137
55,2015-09-30,0.6548
56,2015-10-01,0.6647
57,2015-10-02,0.6796
58,2015-10-03,0.6095
59,2015-10-04,0.6078
60,2015-10-05,0.6511
61,2015-10-06,0.6
62,2015-10-07,0.62
63,2015-10-08,0.6352
64,2015-10-09,0.6351
65,2015-10-10,0.5993
66,2015-10-11,0.63
67,2015-10-12,0.6017
68,2015-10-13,0.5
69,2015-10-14,0.56
70,2015-10-15,0.525
71,2015-10-16,0.523
72,2015-10-17,0.505
73,2015-10-18,0.5
74,2015-10-19,0.44
75,2015-10-20,0.42
76,2015-10-21,0.609
77,2015-10-22,0.5649
78,2015-10-23,0.5561
79,2015-10-24,0.62
80,2015-10-25,0.706
81,2015-10-26,0.83
82,2015-10-27,0.99
83,2015-10-28,1.12
84,2015-10-29,1.14
85,2015-10-30,0.8676
86,2015-10-31,0.99
87,2015-11-01,0.9878
88,2015-11-02,1.06
89,2015-11-03,0.799
90,2015-11-04,0.8764
91,2015-11-05,0.9899
92,2015-11-06,0.93
93,2015-11-07,1.0
94,2015-11-08,0.998
95,2015-11-09,0.9
96,2015-11-10,0.75
97,2015-11-11,0.88
98,2015-11-12,0.9
99,2015-11-13,0.88
100,2015-11-14,0.9193
101,2015-11-15,0.925
102,2015-11-16,1.0
103,2015-11-17,0.9973
104,2015-11-18,0.94
105,2015-11-19,0.92
106,2015-11-20,0.96
107,2015-11-21,0.97
108,2015-11-22,0.92
109,2015-11-23,0.91
110,2015-11-24,0.87
111,2015-11-25,0.86
112,2015-11-26,0.88
113,2015-11-27,0.91
114,2015-11-28,0.87
115,2015-11-29,0.88
116,2015-11-30,0.87
117,2015-12-01,0.82
118,2015-12-02,0.83
119,2015-12-03,0.84
120,2015-12-04,0.8699
121,2015-12-05,0.825
122,2015-12-06,0.79
123,2015-12-07,0.8102
124,2015-12-08,0.8051
125,2015-12-09,0.8437
126,2015-12-10,0.8998
127,2015-12-11,0.96
128,2015-12-12,0.9199
129,2015-12-13,0.99
130,2015-12-14,1.0
131,2015-12-15,0.8029999999999999
132,2015-12-16,0.94
133,2015-12-17,0.9
134,2015-12-18,0.8935
135,2015-12-19,1.07
136,2015-12-20,0.91
137,2015-12-21,0.88
138,2015-12-22,0.8709
139,2015-12-23,0.87
140,2015-12-24,0.88
141,2015-12-25,0.853
142,2015-12-26,0.918
143,2015-12-27,0.8749
144,2015-12-28,0.86
145,2015-12-29,0.8925
146,2015-12-30,0.9488
147,2015-12-31,0.92
148,2016-01-01,0.9547
149,2016-01-02,0.96
150,2016-01-03,0.95
151,2016-01-04,0.9426
152,2016-01-05,0.95
153,2016-01-06,0.94
154,2016-01-07,0.985
155,2016-01-08,0.985
156,2016-01-09,1.0
157,2016-01-10,1.08
158,2016-01-11,1.22
159,2016-01-12,1.14
160,2016-01-13,1.16
161,2016-01-14,1.2
162,2016-01-15,1.22
163,2016-01-16,1.31
164,2016-01-17,1.47
165,2016-01-18,1.22
166,2016-01-19,1.54
167,2016-01-20,1.54
168,2016-01-21,1.52
169,2016-01-22,2.03
170,2016-01-23,2.1
171,2016-01-24,2.5
172,2016-01-25,2.3
173,2016-01-26,2.42
174,2016-01-27,2.55
175,2016-01-28,2.41
176,2016-01-29,2.44
177,2016-01-30,2.2
178,2016-01-31,2.17
179,2016-02-01,2.45
180,2016-02-02,2.53
181,2016-02-03,2.57
182,2016-02-04,2.56
183,2016-02-05,2.53
184,2016-02-06,3.0
185,2016-02-07,3.16
186,2016-02-08,3.76
187,2016-02-09,4.35
188,2016-02-10,6.38
189,2016-02-11,5.27
190,2016-02-12,5.22
191,2016-02-13,5.2
192,2016-02-14,5.22
193,2016-02-15,4.25
194,2016-02-16,3.86
195,2016-02-17,4.36
196,2016-02-18,4.45
197,2016-02-19,4.37
198,2016-02-20,4.63
199,2016-02-21,5.6
200,2016-02-22,5.7
201,2016-02-23,6.23
202,2016-02-24,5.93
203,2016-02-25,6.03
204,2016-02-26,6.31
205,2016-02-27,6.5
206,2016-02-28,6.35
207,2016-02-29,7.59
208,2016-03-01,8.7
209,2016-03-02,9.35
210,2016-03-03,9.96
211,2016-03-04,11.0
212,2016-03-05,10.98
213,2016-03-06,9.5
214,2016-03-07,9.88
215,2016-03-08,11.55
216,2016-03-09,11.11
217,2016-03-10,11.25
218,2016-03-11,13.25
219,2016-03-12,15.0
220,2016-03-13,12.5
221,2016-03-14,13.09
222,2016-03-15,12.92
223,2016-03-16,11.14
224,2016-03-17,10.75
225,2016-03-18,10.55
226,2016-03-19,10.06
227,2016-03-20,11.97
228,2016-03-21,10.96
229,2016-03-22,12.29
230,2016-03-23,11.13
231,2016-03-24,10.69
232,2016-03-25,11.0
233,2016-03-26,10.5
234,2016-03-27,11.58
235,2016-03-28,11.73
236,2016-03-29,11.88
237,2016-03-30,11.41
238,2016-03-31,11.63
239,2016-04-01,11.61
240,2016-04-02,11.58
241,2016-04-03,11.1
242,2016-04-04,10.39
243,2016-04-05,10.79
244,2016-04-06,10.08
245,2016-04-07,9.74
246,2016-04-08,9.16
247,2016-04-09,8.8
248,2016-04-10,8.72
249,2016-04-11,7.53
250,2016-04-12,8.02
251,2016-04-13,8.48
252,2016-04-14,8.22
253,2016-04-15,8.48
254,2016-04-16,9.45
255,2016-04-17,8.92
256,2016-04-18,8.77
257,2016-04-19,8.54
258,2016-04-20,8.15
259,2016-04-21,7.83
260,2016-04-22,8.31
261,2016-04-23,8.0
262,2016-04-24,7.43
263,2016-04-25,7.5
264,2016-04-26,7.77
265,2016-04-27,7.3
266,2016-04-28,7.51
267,2016-04-29,8.83
268,2016-04-30,8.76
269,2016-05-01,10.03
270,2016-05-02,9.37
271,2016-05-03,9.43
272,2016-05-04,9.79
273,2016-05-05,9.27
274,2016-05-06,9.3
275,2016-05-07,9.44
276,2016-05-08,9.32
277,2016-05-09,9.39
278,2016-05-10,9.97
279,2016-05-11,10.1
280,2016-05-12,10.48
281,2016-05-13,10.14
282,2016-05-14,9.94
283,2016-05-15,11.04
284,2016-05-16,12.26
285,2016-05-17,13.29
286,2016-05-18,14.49
287,2016-05-19,13.73
288,2016-05-20,13.95
289,2016-05-21,14.21
290,2016-05-22,13.45
291,2016-05-23,12.62
292,2016-05-24,12.53
293,2016-05-25,12.37
294,2016-05-26,11.11
295,2016-05-27,11.56
296,2016-05-28,12.28
297,2016-05-29,12.48
298,2016-05-30,13.85
299,2016-05-31,13.83
300,2016-06-01,13.78
301,2016-06-02,13.78
302,2016-06-03,13.66
303,2016-06-04,13.85
304,2016-06-05,13.96
305,2016-06-06,14.41
306,2016-06-07,14.44
307,2016-06-08,14.49
308,2016-06-09,13.97
309,2016-06-10,14.01
310,2016-06-11,15.57
311,2016-06-12,17.55
312,2016-06-13,18.7
313,2016-06-14,18.3
314,2016-06-15,20.61
315,2016-06-16,15.49
316,2016-06-17,11.36
317,2016-06-18,12.33
318,2016-06-19,11.7
319,2016-06-20,12.71
320,2016-06-21,13.21
321,2016-06-22,13.58
322,2016-06-23,14.25
323,2016-06-24,14.28
324,2016-06-25,13.82
325,2016-06-26,14.04
326,2016-06-27,12.15
327,2016-06-28,12.76
328,2016-06-29,12.4
329,2016-06-30,12.23
330,2016-07-01,12.04
331,2016-07-02,11.85
332,2016-07-03,11.34
333,2016-07-04,10.45
334,2016-07-05,10.51
335,2016-07-06,10.07
336,2016-07-07,11.3
337,2016-07-08,10.92
338,2016-07-09,10.97
339,2016-07-10,10.58
340,2016-07-11,10.54
341,2016-07-12,10.44
342,2016-07-13,11.55
343,2016-07-14,11.88
344,2016-07-15,11.59
345,2016-07-16,11.19
346,2016-07-17,11.03
347,2016-07-18,11.63
348,2016-07-19,12.54
349,2016-07-20,12.66
350,2016-07-21,14.82
351,2016-07-22,14.4
352,2016-07-23,12.63
353,2016-07-24,13.84
354,2016-07-25,12.08
355,2016-07-26,13.05
356,2016-07-27,12.87
357,2016-07-28,12.87
358,2016-07-29,12.57
359,2016-07-30,11.86
360,2016-07-31,11.04
361,2016-08-01,8.3
362,2016-08-02,10.42
363,2016-08-03,11.21
364,2016-08-04,11.05
365,2016-08-05,10.95
