,Date,Price
0,2010-07-16,0.049510000000000005
1,2010-07-17,0.08584
2,2010-07-18,0.0808
3,2010-07-19,0.07474
4,2010-07-20,0.07921
5,2010-07-21,0.0505
6,2010-07-22,0.06262000000000001
7,2010-07-23,0.05454
8,2010-07-24,0.0505
9,2010-07-25,0.055999999999999994
10,2010-07-26,0.06
11,2010-07-27,0.0589
12,2010-07-28,0.0699
13,2010-07-29,0.0627
14,2010-07-30,0.06785
15,2010-07-31,0.0611
16,2010-08-01,0.06
17,2010-08-02,0.06
18,2010-08-03,0.057
19,2010-08-04,0.061
20,2010-08-05,0.0623
21,2010-08-06,0.059000000000000004
22,2010-08-07,0.0609
23,2010-08-08,0.071
24,2010-08-09,0.07
25,2010-08-10,0.067
26,2010-08-11,0.07
27,2010-08-12,0.0645
28,2010-08-13,0.067
29,2010-08-14,0.06529
30,2010-08-15,0.0655
31,2010-08-16,0.07
32,2010-08-17,0.068
33,2010-08-18,0.0667
34,2010-08-19,0.0655
35,2010-08-20,0.0664
36,2010-08-21,0.066
37,2010-08-22,0.06491
38,2010-08-23,0.065
39,2010-08-24,0.0648
40,2010-08-25,0.064
41,2010-08-26,0.065
42,2010-08-27,0.0641
43,2010-08-28,0.064
44,2010-08-29,0.06497
45,2010-08-30,0.06
46,2010-08-31,0.0629
47,2010-09-01,0.0634
48,2010-09-02,0.06085
49,2010-09-03,0.06238
50,2010-09-04,0.0616
51,2010-09-05,0.0616
52,2010-09-06,0.061
53,2010-09-07,0.062
54,2010-09-08,0.06111000000000001
55,2010-09-09,0.0618
56,2010-09-10,0.06366000000000001
57,2010-09-11,0.0615
58,2010-09-12,0.06219
59,2010-09-13,0.06199
60,2010-09-14,0.0604
61,2010-09-15,0.0619
62,2010-09-16,0.059000000000000004
63,2010-09-17,0.061
64,2010-09-18,0.0627
65,2010-09-19,0.0621
66,2010-09-20,0.06265
67,2010-09-21,0.0622
68,2010-09-22,0.06231
69,2010-09-23,0.0622
70,2010-09-24,0.06202000000000001
71,2010-09-25,0.062
72,2010-09-26,0.0622
73,2010-09-27,0.0619
74,2010-09-28,0.06191
75,2010-09-29,0.0619
76,2010-09-30,0.06197
77,2010-10-01,0.0614
78,2010-10-02,0.06111000000000001
79,2010-10-03,0.0613
80,2010-10-04,0.0614
81,2010-10-05,0.06281
82,2010-10-06,0.067
83,2010-10-07,0.08685
84,2010-10-08,0.0938
85,2010-10-09,0.0965
86,2010-10-10,0.095
87,2010-10-11,0.0949
88,2010-10-12,0.105
89,2010-10-13,0.102
90,2010-10-14,0.105
91,2010-10-15,0.10099999999999999
92,2010-10-16,0.102
93,2010-10-17,0.1024
94,2010-10-18,0.09699999999999999
95,2010-10-19,0.099
96,2010-10-20,0.107
97,2010-10-21,0.1025
98,2010-10-22,0.1055
99,2010-10-23,0.115
100,2010-10-24,0.132
101,2010-10-25,0.1503
102,2010-10-26,0.1877
103,2010-10-27,0.1731
104,2010-10-28,0.19
